period,nerc.region,demand.mwh,SO2
2020-01-13T18,RFC,184564,0
2020-01-13T19,RFC,182376,0
2020-01-13T20,RFC,180776,0
2020-01-13T21,RFC,179612,0
2020-01-13T22,RFC,182612,0
2020-01-13T23,RFC,191924,0
2020-01-14T00,RFC,195794,0
2020-01-14T01,RFC,194386,0
2020-01-14T02,RFC,190714,0
2020-01-14T03,RFC,184266,0
2020-01-14T04,RFC,175438,0
2020-01-14T05,RFC,169850,0
2020-01-14T06,RFC,164130,0
2020-01-14T07,RFC,160250,0
2020-01-14T08,RFC,158066,0
2020-01-14T09,RFC,158322,0
2020-01-14T10,RFC,161274,0
2020-01-14T11,RFC,168804,0
2020-01-14T12,RFC,181732,0
2020-01-14T13,RFC,191754,0
2020-01-14T14,RFC,192036,0
2020-01-14T15,RFC,191364,0
2020-01-14T16,RFC,190592,0
2020-01-14T17,RFC,189266,0
2020-01-14T18,RFC,187456,0
2020-01-14T19,RFC,186224,0
2020-01-14T20,RFC,184262,0
2020-01-14T21,RFC,183276,0
2020-01-14T22,RFC,185440,0
2020-01-14T23,RFC,192254,0
2020-01-15T00,RFC,195482,0
2020-01-15T01,RFC,193206,0
2020-01-15T02,RFC,188998,0
2020-01-15T03,RFC,182256,0
2020-01-15T04,RFC,174572,0
2020-01-15T05,RFC,168422,0
2020-01-15T06,RFC,161702,0
2020-01-15T07,RFC,158740,0
2020-01-15T08,RFC,158130,0
2020-01-15T09,RFC,157654,0
2020-01-15T10,RFC,160304,0
2020-01-15T11,RFC,165782,0
2020-01-15T12,RFC,180728,0
2020-01-15T13,RFC,190986,0
2020-01-15T14,RFC,190736,0
2020-01-15T15,RFC,187120,0
2020-01-15T16,RFC,183228,0
2020-01-15T17,RFC,180224,0
2020-01-15T18,RFC,177030,0
2020-01-15T19,RFC,175284,0
2020-01-15T20,RFC,173630,0
2020-01-15T21,RFC,173874,0
2020-01-15T22,RFC,178040,0
2020-01-15T23,RFC,187438,0
2020-01-16T00,RFC,190840,0
2020-01-16T01,RFC,188926,0
2020-01-16T02,RFC,185606,0
2020-01-16T03,RFC,179948,0
2020-01-16T04,RFC,172102,0
2020-01-16T05,RFC,164998,0
2020-01-16T06,RFC,158604,0
2020-01-16T07,RFC,154676,0
2020-01-16T08,RFC,154422,0
2020-01-16T09,RFC,152978,0
2020-01-16T10,RFC,155730,0
2020-01-16T11,RFC,162068,0
2020-01-16T12,RFC,177204,0
2020-01-16T13,RFC,188218,0
2020-01-16T14,RFC,189078,0
2020-01-16T15,RFC,187530,0
2020-01-16T16,RFC,186140,0
2020-01-16T17,RFC,184042,0
2020-01-16T18,RFC,182870,0
2020-01-16T19,RFC,183044,0
2020-01-16T20,RFC,183520,0
2020-01-16T21,RFC,183718,0
2020-01-16T22,RFC,188934,0
2020-01-16T23,RFC,200808,0
2020-01-17T00,RFC,207132,0
2020-01-17T01,RFC,207104,0
2020-01-17T02,RFC,205284,0
